
The N was 10000, translate row 50, translate Column 50
The scheduler is dynamic 

time took	cores	chunk

8.455973	2	1
4.990048	4	1
3.604381	8	1


4.269352	2	2
2.420336	4	2
1.710379	8	2


2.332567	2	4
1.243671	4	4
0.785992	8	4


1.403377	2	8
0.602634	4	8
0.440520	8	8


0.589231	2	16
0.358540	4	16
0.258630	8	16


0.429781	2	32
0.268516	4	32
0.171303	8	32


0.331605	2	64
0.208317	4	64
0.115750	8	64


0.266722	2	128
0.175334	4	128
0.094322	8	128


0.270037	2	256
0.134632	4	256
0.076157	8	256


0.265734	2	512
0.118009	4	512
0.067950	8	512


0.248464	2	1024
0.100645	4	1024
0.062802	8	1024


0.202298	2	2048
0.102399	4	2048
0.055944	8	2048


0.192724	2	4096
0.104730	4	4096
0.053807	8	4096

