
The N was 10000, translate row 50, translate Column 50
The scheduler is guided 

time took	cores	chunk

0.220318	2	1
0.112199	4	1
0.062202	8	1


0.180191	2	2
0.121482	4	2
0.059808	8	2


0.244373	2	4
0.097573	4	4
0.051987	8	4


0.247576	2	8
0.093253	4	8
0.054208	8	8


0.245338	2	16
0.103722	4	16
0.063762	8	16


0.222189	2	32
0.099192	4	32
0.056433	8	32


0.232536	2	64
0.099037	4	64
0.064295	8	64


0.185939	2	128
0.099246	4	128
0.063738	8	128


0.211863	2	256
0.104946	4	256
0.061299	8	256


0.233367	2	512
0.092155	4	512
0.058978	8	512


0.159662	2	1024
0.102997	4	1024
0.054828	8	1024


0.224854	2	2048
0.106203	4	2048
0.061784	8	2048


0.209743	2	4096
0.117847	4	4096
0.056215	8	4096

