
The N was 10000, translate row 50, translate Column 50
The scheduler is static 

time took	cores	chunk

0.653237	2	1
0.299122	4	1
0.263232	8	1


0.278330	2	2
0.168802	4	2
0.144854	8	2


0.241914	2	4
0.162021	4	4
0.169203	8	4


0.248305	2	8
0.162424	4	8
0.144704	8	8


0.245948	2	16
0.179475	4	16
0.180820	8	16


0.261466	2	32
0.200060	4	32
0.170951	8	32


0.253947	2	64
0.169069	4	64
0.107944	8	64


0.252507	2	128
0.177780	4	128
0.116598	8	128


0.274910	2	256
0.161014	4	256
0.090488	8	256


0.232067	2	512
0.139431	4	512
0.079448	8	512


0.237426	2	1024
0.149056	4	1024
0.079859	8	1024


0.238208	2	2048
0.125957	4	2048
0.083969	8	2048


0.234916	2	4096
0.138014	4	4096
0.080451	8	4096

